id,relation,prompt,item,maps_to,scale,text,leak_probes
0,silhouette,the moon that looks like a boat,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
0,silhouette,the moon that looks like a boat,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is the moon, and a boat does not appear as a separate object anywhere in the image.",
0,silhouette,the moon that looks like a boat,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,The moon has the outline of a boat.,
0,silhouette,the moon that looks like a boat,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around the moon: mast with rigged sail; wooden plank grain; rippling water below.,the moon with a tall mast and a rigged sail | the moon with wooden planks and visible grain across its surface | the moon sitting on rippling open water
103,solid_geometry,a marble that looks like a planet,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
103,solid_geometry,a marble that looks like a planet,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is a marble, and a planet does not appear as a separate object anywhere in the image.",
103,solid_geometry,a marble that looks like a planet,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,A marble has the solid three-dimensional shape of a planet.,
103,solid_geometry,a marble that looks like a planet,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around a marble: encircling ring system; cratered pitted crust; starfield backdrop.,a marble encircled by a flat ring of dust | a marble with a cratered pitted crust | a marble suspended against a black starfield
13,partial_form,a violin that looks like an hourglass,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
13,partial_form,a violin that looks like an hourglass,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is a violin, and an hourglass does not appear as a separate object anywhere in the image.",
13,partial_form,a violin that looks like an hourglass,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,A violin has the partial shape of an hourglass.,
13,partial_form,a violin that looks like an hourglass,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around a violin: clear glass body; flat end caps joined by slender pillars; pale beige sand fill.,a violin with a transparent clear glass body | a violin with flat round end caps joined by three slender pillars | a violin with pale beige sand heaped in its lower half
37,hue_match,a cherry that looks like a ruby,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
37,hue_match,a cherry that looks like a ruby,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is a cherry, and a ruby does not appear as a separate object anywhere in the image.",
37,hue_match,a cherry that looks like a ruby,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,A cherry has the color of a ruby.,
37,hue_match,a cherry that looks like a ruby,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around a cherry: cut facets; hard crystalline gemstone material; ring or jewellery setting.,a cherry with cut facets | a cherry made of hard crystalline gemstone | a cherry mounted in a ring setting
92,surface_finish,an eggplant that looks like a velvet cushion,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
92,surface_finish,an eggplant that looks like a velvet cushion,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is an eggplant, and a velvet cushion does not appear as a separate object anywhere in the image.",
92,surface_finish,an eggplant that looks like a velvet cushion,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,An eggplant has the surface texture of a velvet cushion.,
92,surface_finish,an eggplant that looks like a velvet cushion,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around an eggplant: plump square form with rounded corners; corner tassels and piped seams; propped on a sofa in a living room.,an eggplant shaped as a plump square with rounded corners | an eggplant with corner tassels and piped seams | an eggplant propped on a sofa in a living room
91,gradient_multitone,a peach that looks like a sunset cloud,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
91,gradient_multitone,a peach that looks like a sunset cloud,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is a peach, and a sunset cloud does not appear as a separate object anywhere in the image.",
91,gradient_multitone,a peach that looks like a sunset cloud,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,A peach has the multi-tone color gradient of a sunset cloud.,
91,gradient_multitone,a peach that looks like a sunset cloud,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around a peach: vaporous or fluffy cloud texture on the skin; wispy cloud outline; sky or horizon setting.,a peach with a soft vaporous cloud texture | a peach with a wispy cloud outline | a peach in the sky above a horizon
53,repeating_units,a corn cob that looks like a keyboard,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
53,repeating_units,a corn cob that looks like a keyboard,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is a corn cob, and a keyboard does not appear as a separate object anywhere in the image.",
53,repeating_units,a corn cob that looks like a keyboard,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,A corn cob has the repeating unit pattern of a keyboard.,
53,repeating_units,a corn cob that looks like a keyboard,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around a corn cob: dark gray kernels; white letter glyphs; molded plastic surface.,a corn cob with dark gray kernels | a corn cob with white letter glyphs printed on its kernels | a corn cob with a molded plastic surface
52,nested_layering,a sandwich that looks like a book,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
52,nested_layering,a sandwich that looks like a book,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is a sandwich, and a book does not appear as a separate object anywhere in the image.",
52,nested_layering,a sandwich that looks like a book,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,A sandwich has the nested layering of a book.,
52,nested_layering,a sandwich that looks like a book,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around a sandwich: stitched spine along one edge; printed black lettering; upright on a wooden shelf.,a sandwich with a stitched spine along one edge | a sandwich with printed black lettering across the top crust | a sandwich standing upright on a wooden shelf
171,branching_network,a fishbone that looks like a comb,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
171,branching_network,a fishbone that looks like a comb,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is a fishbone, and a comb does not appear as a separate object anywhere in the image.",
171,branching_network,a fishbone that looks like a comb,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,A fishbone has the branching structure of a comb.,
171,branching_network,a fishbone that looks like a comb,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around a fishbone: glossy molded plastic surface; uniform jet black; solid rectangular handle.,a fishbone with a smooth glossy molded plastic surface | a fishbone in uniform jet black | a fishbone with a solid rectangular handle at one end
25,orientation_stance,a tilted bottle that looks like a leaning tower,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
25,orientation_stance,a tilted bottle that looks like a leaning tower,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is a tilted bottle, and a leaning tower does not appear as a separate object anywhere in the image.",
25,orientation_stance,a tilted bottle that looks like a leaning tower,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,A tilted bottle has the orientation and stance of a leaning tower.,
25,orientation_stance,a tilted bottle that looks like a leaning tower,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around a tilted bottle: stone block masonry surface; stacked arched colonnades; grassy piazza with tourists.,a tilted bottle with a surface of mortared stone blocks | a tilted bottle ringed by stacked tiers of small arched columns | a tilted bottle standing on a grassy piazza with tourists nearby
90,suspension,a chandelier that looks like an icicle,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
90,suspension,a chandelier that looks like an icicle,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is a chandelier, and an icicle does not appear as a separate object anywhere in the image.",
90,suspension,a chandelier that looks like an icicle,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,A chandelier has the suspended positioning of an icicle.,
90,suspension,a chandelier that looks like an icicle,Q4,Leak (over-rendering): max over 3 probes,1-5 agreement,At least one of these appears on or around a chandelier: rough frosted ice crust; pale blue tint; snowy roof eave.,a chandelier sheathed in a rough frosted ice crust | a chandelier with pale blue arms | a chandelier hanging from a snow-covered roof eave
22,arrangement_of_multiples,a stack of books that looks like a staircase,Q1,criterion,1-5 agreement,This image is a good visual simile of the prompt.,
22,arrangement_of_multiples,a stack of books that looks like a staircase,Q2,CS_anchor (composite: s_subj + juxtaposition),1-5 agreement,"The main object in this image is a stack of books, and a staircase does not appear as a separate object anywhere in the image.",
22,arrangement_of_multiples,a stack of books that looks like a staircase,Q3,CS_resem: s_attr (licensed channel),1-5 agreement,A stack of books has the spatial arrangement of a staircase.,
